Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/23/2021,01/01/2020,06/19/2021,By Total,,,California,Hospice facility,186,6189,268,84,,371,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,California,Nursing home/long term care facility,7217,60082,4298,2305,31,9240,
06/23/2021,01/01/2020,06/19/2021,By Total,,,California,Other,1909,44970,1092,464,13,2549,
06/23/2021,01/01/2020,06/19/2021,By Total,,,California,Place of death unknown,,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Colorado,Total - All Places of Death,6956,67851,6285,3492,141,9885,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Colorado,"Healthcare setting, inpatient",3565,16405,3943,2498,72,5079,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Colorado,"Healthcare setting, outpatient or emergency room",139,2607,152,64,,234,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Colorado,"Healthcare setting, dead on arrival",,62,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Colorado,Decedent's home,777,24933,725,219,33,1316,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Colorado,Hospice facility,174,5078,314,90,,402,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Colorado,Nursing home/long term care facility,2184,14530,1042,589,24,2659,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Colorado,Other,110,4216,106,30,,187,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Colorado,Place of death unknown,0,20,0,0,0,0,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Connecticut,Total - All Places of Death,8261,51461,4450,2388,92,10412,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Connecticut,"Healthcare setting, inpatient",4652,17704,3355,1933,71,6142,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Connecticut,"Healthcare setting, outpatient or emergency room",262,3067,108,35,,337,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Connecticut,"Healthcare setting, dead on arrival",13,377,,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Connecticut,Decedent's home,351,15073,188,28,,516,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Connecticut,Hospice facility,124,1813,86,50,0,160,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Connecticut,Nursing home/long term care facility,2690,10535,660,323,14,3041,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Connecticut,Other,168,2889,46,17,0,197,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Connecticut,Place of death unknown,,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Delaware,Total - All Places of Death,1709,15418,1362,756,26,2340,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Delaware,"Healthcare setting, inpatient",995,3893,1058,640,17,1429,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Delaware,"Healthcare setting, outpatient or emergency room",40,822,34,17,,58,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Delaware,"Healthcare setting, dead on arrival",0,12,0,0,0,0,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Delaware,Decedent's home,145,5975,84,24,,208,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Delaware,Hospice facility,56,1586,49,,,102,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Delaware,Nursing home/long term care facility,462,2239,127,65,,525,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Delaware,Other,11,890,10,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Delaware,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,District of Columbia,Total - All Places of Death,1469,10611,1776,1209,12,2048,
06/23/2021,01/01/2020,06/19/2021,By Total,,,District of Columbia,"Healthcare setting, inpatient",1123,5431,1454,967,11,1621,
06/23/2021,01/01/2020,06/19/2021,By Total,,,District of Columbia,"Healthcare setting, outpatient or emergency room",65,668,57,48,0,74,
06/23/2021,01/01/2020,06/19/2021,By Total,,,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/23/2021,01/01/2020,06/19/2021,By Total,,,District of Columbia,Decedent's home,107,2612,104,72,0,139,
06/23/2021,01/01/2020,06/19/2021,By Total,,,District of Columbia,Hospice facility,34,378,37,27,0,44,
06/23/2021,01/01/2020,06/19/2021,By Total,,,District of Columbia,Nursing home/long term care facility,122,828,104,81,0,145,
06/23/2021,01/01/2020,06/19/2021,By Total,,,District of Columbia,Other,18,693,20,14,,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,District of Columbia,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Florida,Total - All Places of Death,34910,356465,39688,21381,519,53693,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Florida,"Healthcare setting, inpatient",24681,104033,27669,16757,363,35919,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Florida,"Healthcare setting, outpatient or emergency room",1104,22435,1015,437,21,1703,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Florida,"Healthcare setting, dead on arrival",13,300,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Florida,Decedent's home,1624,103073,2161,653,40,3172,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Florida,Hospice facility,4203,62469,5949,2324,74,7898,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Florida,Nursing home/long term care facility,1968,29690,1412,547,,2841,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Florida,Other,1317,34464,1477,661,12,2144,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Florida,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Georgia,Total - All Places of Death,17856,149919,15459,9291,212,24224,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Georgia,"Healthcare setting, inpatient",12620,46636,11864,7724,155,16905,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Georgia,"Healthcare setting, outpatient or emergency room",837,13823,548,243,17,1158,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Georgia,"Healthcare setting, dead on arrival",40,1287,27,11,,57,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Georgia,Decedent's home,1108,49624,882,315,22,1697,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Georgia,Hospice facility,824,10632,940,351,,1422,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Georgia,Nursing home/long term care facility,2235,19025,1086,595,,2731,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Georgia,Other,192,8871,112,52,,254,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Georgia,Place of death unknown,0,21,0,0,0,0,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Hawaii,Total - All Places of Death,489,17468,1188,251,26,1452,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Hawaii,"Healthcare setting, inpatient",371,4541,799,225,18,963,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Hawaii,"Healthcare setting, outpatient or emergency room",17,1288,53,,,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Hawaii,"Healthcare setting, dead on arrival",0,697,17,0,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Hawaii,Decedent's home,40,6521,137,,,169,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Hawaii,Hospice facility,,956,45,0,,48,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Hawaii,Nursing home/long term care facility,43,1507,84,,,124,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Hawaii,Other,16,1958,53,,,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Hawaii,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Idaho,Total - All Places of Death,2155,23539,1791,976,35,3001,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Idaho,"Healthcare setting, inpatient",1155,5392,1150,699,17,1621,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Idaho,"Healthcare setting, outpatient or emergency room",40,823,33,,,67,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Idaho,"Healthcare setting, dead on arrival",0,24,0,0,0,0,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Idaho,Decedent's home,285,9876,245,101,10,437,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Idaho,Hospice facility,62,966,70,25,,108,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Idaho,Nursing home/long term care facility,590,5189,269,131,,731,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Idaho,Other,23,1269,24,11,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Idaho,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Illinois,Total - All Places of Death,22370,182849,19939,11279,227,31250,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Illinois,"Healthcare setting, inpatient",14593,56671,15045,9236,147,20542,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Illinois,"Healthcare setting, outpatient or emergency room",792,12713,579,247,12,1136,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Illinois,"Healthcare setting, dead on arrival",22,432,,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Illinois,Decedent's home,1509,61193,1311,390,24,2454,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Illinois,Hospice facility,481,6981,575,244,10,822,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Illinois,Nursing home/long term care facility,4382,32443,2104,1019,30,5497,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Illinois,Other,591,12416,319,138,,776,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Illinois,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Indiana,Total - All Places of Death,13550,111242,12288,6524,184,19490,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Indiana,"Healthcare setting, inpatient",7494,33789,8748,5082,129,11282,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Indiana,"Healthcare setting, outpatient or emergency room",242,4514,219,83,,383,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Indiana,"Healthcare setting, dead on arrival",,102,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Indiana,Decedent's home,900,37146,996,292,18,1622,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Indiana,Hospice facility,205,4037,392,141,,464,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Indiana,Nursing home/long term care facility,4531,25915,1788,864,22,5476,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Indiana,Other,175,5718,144,62,,259,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Indiana,Place of death unknown,0,21,0,0,0,0,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Iowa,Total - All Places of Death,6124,49503,4516,2149,100,8587,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Iowa,"Healthcare setting, inpatient",2892,12987,2758,1502,48,4192,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Iowa,"Healthcare setting, outpatient or emergency room",123,2278,92,32,,186,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Iowa,"Healthcare setting, dead on arrival",,64,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Iowa,Decedent's home,390,13847,369,82,12,689,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Iowa,Hospice facility,160,4139,330,46,12,456,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Iowa,Nursing home/long term care facility,2512,14587,935,479,24,2992,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Iowa,Other,43,1600,30,,0,66,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Iowa,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kansas,Total - All Places of Death,5005,44479,4131,2125,126,7134,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kansas,"Healthcare setting, inpatient",2809,12503,2845,1620,74,4105,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kansas,"Healthcare setting, outpatient or emergency room",103,1779,89,34,,161,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kansas,"Healthcare setting, dead on arrival",,47,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kansas,Decedent's home,362,14129,323,91,15,609,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kansas,Hospice facility,82,2138,169,30,12,233,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kansas,Nursing home/long term care facility,1578,11565,656,337,22,1919,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kansas,Other,70,2318,49,13,0,106,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kansas,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kentucky,Total - All Places of Death,7565,79705,8924,3796,154,12839,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kentucky,"Healthcare setting, inpatient",4931,26412,6906,3199,106,8737,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kentucky,"Healthcare setting, outpatient or emergency room",260,6035,230,69,,428,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kentucky,"Healthcare setting, dead on arrival",,108,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kentucky,Decedent's home,517,26381,696,176,22,1059,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kentucky,Hospice facility,276,5902,353,65,14,578,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kentucky,Nursing home/long term care facility,1516,11098,673,265,,1927,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kentucky,Other,62,3761,64,20,0,106,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Kentucky,Place of death unknown,,,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Louisiana,Total - All Places of Death,9646,79697,7861,4917,103,12683,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Louisiana,"Healthcare setting, inpatient",7072,24903,5900,3955,76,9085,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Louisiana,"Healthcare setting, outpatient or emergency room",422,5313,366,192,,601,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Louisiana,"Healthcare setting, dead on arrival",,62,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Louisiana,Decedent's home,644,29160,541,185,16,1015,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Louisiana,Hospice facility,306,3862,263,156,,416,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Louisiana,Nursing home/long term care facility,1097,11428,707,400,,1405,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Louisiana,Other,103,4969,82,28,,158,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Louisiana,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Maine,Total - All Places of Death,974,22898,1511,237,37,2285,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Maine,"Healthcare setting, inpatient",453,5088,883,176,26,1186,
06/23/2021,01/01/2020,06/19/2021,By Total,,,Maine,"Healthcare setting, outpatient or emergency room",14,686,35,,,48,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Maine,"Healthcare setting, dead on arrival",,10,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Maine,Decedent's home,67,8615,212,12,,271,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,06/19/2021,By Total,,,Maine,Hospice facility,24,2353,86,,,107,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
